Animal ID,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Breed_Intake,Color_Intake,Sex upon Outcome,binary_outcome,Age Outcome,Age Intake
A765248,3411 Lakeside Drive in Austin (TX),Stray,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,Neutered Male,positive,2192,2191
A390436,1100 Arcadia Ave in Austin (TX),Stray,Normal,Dog,Neutered Male,Pointer Mix,White/Brown,Neutered Male,positive,5038,5038
A680336,114 Mist Flower in Pflugerville (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby/White,Neutered Male,positive,75,34
A738032,1201 Grove Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Agouti,Neutered Male,positive,69,61
A758687,Catherine Drive And Blue Bluff in Austin (TX),Stray,Normal,Cat,Intact Male,American Shorthair Mix,Black,Intact Male,positive,7,7
A672748,1111 W 34Th St in Austin (TX),Public Assist,Normal,Other,Unknown,Bat Mix,Brown/Black,Unknown,negative,1096,1096
A677538,909 W 45Th St in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Calico,Intact Female,positive,15,15
A737077,7809 E Ben White Blvd in Austin (TX),Public Assist,Normal,Dog,Intact Male,Chihuahua Shorthair Mix,Tan,Neutered Male,positive,390,366
A753452,6808 Porter St in Austin (TX),Wildlife,Sick,Other,Unknown,Opossum Mix,Gray/White,Unknown,negative,1826,1826
A795800,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,Lhasa Apso,Tan/White,Intact Male,positive,3734,3652
A690591,2308 Wickersham in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,Intact Female,positive,22,21
A724376,10600 Burleson in Travis (TX),Stray,Normal,Dog,Intact Female,Norwich Terrier Mix,Tan,Spayed Female,positive,372,366
A675341,409 Whitetail Dr in Austin (TX),Stray,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby/White,Neutered Male,positive,132,116
A803736,12803 Broughton Way in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair,Gray Tabby,Intact Male,positive,31,24
A730018,2805 Palomino Trl in Austin (TX),Stray,Normal,Dog,Intact Female,Dachshund Wirehair/Miniature Schnauzer,Gray/Tan,Spayed Female,positive,371,366
A714199,8902 Briardale Dr in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Intact Male,positive,93,92
A690760,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,Rat Terrier Mix,White/Black,Spayed Female,positive,915,913
A673394,1909 Blue Meadow in Austin (TX),Stray,Injured,Dog,Spayed Female,Pit Bull Mix,Brown Brindle/White,Spayed Female,negative,2047,2046
A585930,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,Domestic Shorthair Mix,Tortie,Spayed Female,positive,3418,3382
A782046,Fort Branch And Delano in Austin (TX),Stray,Normal,Dog,Spayed Female,English Coonhound Mix,Tricolor/Brown,Spayed Female,positive,470,468
A709748,Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,White,Intact Female,positive,58,46
A707813,12407 Mossy Bark Trail in Austin (TX),Stray,Normal,Cat,Unknown,Domestic Shorthair Mix,Black,Unknown,positive,731,730
A769325,Lamar And Guadalupe in Austin (TX),Stray,Normal,Dog,Intact Male,Labrador Retriever Mix,Black/White,Neutered Male,positive,64,59
A678416,4402 Quicksilver in Austin (TX),Stray,Normal,Dog,Intact Male,Yorkshire Terrier Mix,Blue/Tan,Neutered Male,positive,4388,4383
A785091,1901 National Park Boulevard in Austin (TX),Stray,Normal,Dog,Spayed Female,Pug Mix,Fawn/Brown,Spayed Female,positive,2557,2557
